"titre_clean","auteurs","annee_extrait","type_doc_std","mots_cles","methode_instruments","methode_analyse"
"family language policy among québec-based parents raising multilingual infants and toddlers: a study of resources as a form of language management","Ahooja, Alexa / Brouillard, Melanie / Quirk, Erin / Ballinger, Susan / Polka, Linda / Byers-Heinlein, Krista / Kircher, Ruth",2024,"Article","ressource / transmission intergénérationnelle / langue / politique publique / petite enfance / minorité linguistique / immigration","Questionnaire","Analyse statistiqueAnalyse de contenu"
"alexithymia as a mediator between intimate partner violence and post-traumatic stress symptoms in mothers of children disclosing sexual abuse","Dubé, Valéry / Tremblay-Perreault, Amélie / Alllard-Cobetto, Pénélope / Hébert, Martine",2024,"Article","émotion / agression sexuelle / violence conjugale / partenaire / mère / dévoilement / syndrome de stress post-traumatique / enfant","Questionnaires","Analyse statistique"
"anxiety and depressive symptoms in first-time parents: a dyadic longitudinal study based on attachment theory","Gingras, Anne-Sophie / Brassard, Audrey / Péloquin, Katherine / Lafontaine, Marie-France / Brault-Labbé, Anne / Gosselin, Patrick",2024,"Article","anxiété / dépression / périnatalité / théorie de l’attachement / couple / parentalité / primipare","Questionnaires","Analyse statistique"
"the relationship between perceived parenting practices and anxiety in adults with congenital heart disease","Houchi, Cylia / Marcil, Marie-Joëlle / Nadarajah, Kishani / Mageau, Geneviève A. / Khairy, Paul / Marin, Marie-France / Cossette, Mariève / Dubé, Marie-Pierre / Chaix, Marie-A / Mongeon, François-Pierre / Dore, Annie / Mondésert, Blandine / Ibrahim, Reda / Brouillette, Judith",2024,"Article","pratique parentale / relation parent-enfant / maladie / anxiété / perception / pédiatrie","-	Questionnaires-	Données administratives","Analyse statistique"
"children of extremist parents: insights from a specialized clinical team","Rousseau, Cécile / Miconi, Diana / Johnson-Lafleur, Janique / Desmarais, Christian / Hassan, Ghayda",2024,"Article","aliénation parentale / conflit / violence / parent | parents / services sociaux / stéréotype / protection de la jeunesse","-	Données administratives-	Guide d’entretien semi-directif","Analyse de contenuAnalyse statistique"
"explorer les représentations de soi et de la famille denfants de 10 à 12 ans qui vivent au saguenay-lac-saint-jean à partir de leurs dessins et de leurs paroles","Zenetzis, Claudia",2024,"Thèse/Mémoire","enfant / grand-parent | grands-parents / dessin / milieu rural / saguenay – lac-saint-jean / identité / représentation / école primaire","Guide d’entretien semi-directif","Analyse de contenu"
"le soutien parental à lautonomie et la santé mentale des enfants : un regard sur le rôle de la hiérarchie culturelle","Saïb, Naïla",2024,"Thèse/Mémoire","autonomie / santé mentale / soutien parental / pratique parentale / enfance / adolescence / fonctionnement psychosocial","Questionnaires","Analyse statistique"
"symptoms and psychological factors linked to anxiety impairment in adolescents","Dion, Vincent / Brizard, Nicolas / Jalbert, Jonathan / Sirois, Patricia / Gosselin, Patrick / Brisson, Mallorie / Lane, Julie / Therriault, Danyka / Roberge, Pasquale",2024,"Article","anxiété / fonctionnement psychosocial / structure familiale / adolescent | adolescente / dépression / détresse psychologique","Questionnaires","Analyse statistique"
"validation of the french–canadian version of the covid-19 peritraumatic distress index with parents of an infant","Lassance, Luciana / Bélanger, Claude / Baumann, Mathilde / Paradis, Alison / Dion, Jacinthe / Godbout, Natacha",2024,"Article","covid-19 / parent | parents / traumatisme / détresse / périnatalité / dépression post-partum / nourrisson","Questionnaires","Analyse statistique"
"diseases of despair in early adulthood: the complex role of social relationships","Dupéré, Véronique / Dion, Eric / Pelletier-Dumas, Mathieu / Lacourse, Eric / Archambault, Isabelle / Cantin, Stéphane / Ahn, Jiseul Sophia",2024,"Article","dépression / toxicomanie / éducation / relation interpersonnelle / relation sociale / relation parent-enfant / jeune adulte","Questionnaire","Analyse statistique"
"the intergenerational continuity of alcohol use in a population sample","Bernard, Gabriel / Paradis, Hélène / Côté, Sylvana / Tremblay, Richard E. / Boivin, Michel / Petitclerc, Amélie",2024,"Article","transmission intergénérationnelle / alcool / développement / approche longitudinale / trajectoire / toxicomanie","Questionnaires","Analyse statistique"
"la stigmatisation basée sur le poids et les comportements alimentaires au sein du couple","Talbot, Marie-Ève",2024,"Thèse/Mémoire","couple / obésité / stigmatisation / dyade / émotion / habitude alimentaire","Questionnaires","Analyse statistique"
"profiles of father involvement following parental separation","Larouche, Karl / Pierce, Tamarha / Drapeau, Sylvie / Saint-Jacques, Marie-Christine",2024,"Article","rupture conjugale / relation père-enfant / engagement paternel / profil / garde de l’enfant","Questionnaires","Analyse statistique"
"what is vulnerability? quebec community family workers perceptions of family situations in cases of child neglect","De Boer, Savannah / Lacharité, Carl / Dubois-Comtois, Karine",2024,"Article","vulnérabilité / intervenant | intervenante / intervention psychosociale / protection de la jeunesse / négligence / enfant / facteur de risque / parent | parents","Guide d’entretien semi-directif","Analyse de contenu"
"addressing sexual issues in couples seeking relationship therapy","Emond, Marianne / Byers, E. Sandra / Brassard, Audrey / Tremblay, Nadine / Péloquin, Katherine",2024,"Article","thérapie de couple / partenaire / sexualité / satisfaction sexuelle / satisfaction conjugale","Questionnaires","Analyse statistique"
"family language policy among québec-based parents raising multilingual infants and toddlers: a study of resources as a form of language management","Ahooja, Alexa / Brouillard, Melanie / Quirk, Erin / Ballinger, Susan / Polka, Linda / Byers-Heinlein, Krista / Kircher, Ruth",2024,"Article","ressource / transmission intergénérationnelle / langue / politique publique / petite enfance / minorité linguistique / immigration","Questionnaire","Analyse statistiqueAnalyse de contenu"
"alexithymia as a mediator between intimate partner violence and post-traumatic stress symptoms in mothers of children disclosing sexual abuse","Dubé, Valéry / Tremblay-Perreault, Amélie / Alllard-Cobetto, Pénélope / Hébert, Martine",2024,"Article","émotion / agression sexuelle / violence conjugale / partenaire / mère / dévoilement / syndrome de stress post-traumatique / enfant","Questionnaires","Analyse statistique"
"anxiety and depressive symptoms in first-time parents: a dyadic longitudinal study based on attachment theory","Gingras, Anne-Sophie / Brassard, Audrey / Péloquin, Katherine / Lafontaine, Marie-France / Brault-Labbé, Anne / Gosselin, Patrick",2024,"Article","anxiété / dépression / périnatalité / théorie de l’attachement / couple / parentalité / primipare","Questionnaires","Analyse statistique"
"examining the impact of a change in maternity leave policy in canada on maternal mental health care visits to the physician","Larose, Marie-Pier / Haeck, Catherine / Lefebvre, Pierre / Merrigan, Philip",2024,"Article","congé parental / politique publique / santé mentale / système de santé / maternité / post-partum / allaitement / retour au travail","Données administratives","Analyse statistique"
"predictors of placement instability for sexually abused children served by child protection services","Gendron-Cloutier, Lauranne / Daigneault, Isabelle / Esposito, Tonino",2024,"Article","placement / maltraitance / agression sexuelle / famille d’accueil / santé mentale / protection de la jeunesse / facteur de risque","Données administratives","Analyse statistique"
"longitudinal association between the quality of the separated parents relationship and the frequency of father–child contact: the mothers perspective","Drapeau, Sylvie / Larouche, Karl / Ivers, Hans / Dussault, Sarah / Baude, Amandine",2024,"Article","séparation / divorce / relation père-enfant / approche longitudinale / relation parent-enfant / garde de l’enfant","Questionnaires","Analyse statistique"
"barriers to involvement in parenting activities in school-based preschools in disadvantaged neighbourhoods in canada","Poissant, Julie / Langheit, Stephanie / Capuano, France / Japel, Christa / Poulin, François",2024,"Article","préscolaire / coût / ressource / engagement parental / milieu défavorisé / enseignant | enseignante / parent | parents / collaboration école-famille","Guide d’entretien semi-directif","Analyse de contenu"
"factors associated with delayed disclosure of child sexual abuse: a focus on the victims having been led to perform sexual acts on the perpetrator","Allard-Gaudreau, Noémie / Poirier, Sebastien / Cyr, Mireille",2024,"Article","victimisation / enfant / agression sexuelle / dévoilement / comportement sexuel","Guide d’entretien","Analyse statistique"
"a dyadic study of attachment, coping, and quality of life in couples seeking fertility treatment","Péloquin, Katherine / Arpin, Virginie / Jacmin-Park, Silke / Beaulieu, Noémie / Brassard, Audrey",2024,"Article","trouble de l’attachement / infertilité / qualité de vie / couple / partenaire / adaptation socioémotionnelle / traitement","Questionnaires","Analyse statistique"
"les hommes auteurs dun filicide ou dun homicide conjugal: profils similaires ou distincts ?","Léveillée, Suzanne / Vignola-Lévesque, Carolanne / Bouchard, Jean-Pierre",2024,"Article","filicide / homicide conjugal / violence familiale / profil / homicide / rupture conjugale / violence conjugale","Grille d’analyse","Analyse statistique"
"laccréditation des familles daccueil (avec ou sans projet dadoption) : quelques repères pour mieux évaluer leurs capacités","Pagé, Geneviève / Poitras, Karine / Dubois-Comtois, Karine / Laporte, Joannie / Turgeon, Angèle",2024,"Autre","famille d’accueil / adoption / enfant / parent | parents / évaluation / protection de la jeunesse",NA,"Réflexion critique"
"associations between socioeconomic status, child risk factors, and parenting during guided learning","Labelle, Laurence / Robichaud, Jean-Michel / Kil, Hali / Roy, Mélodie / Laurendeau, Juliette / Normandin, Amy-Lee / Parent, Sophie / Séguin, Jean R. / Joussemet, Mireille / Mageau, Geneviève A.",2024,"Article","autonomie / soutien / développement cognitif / tempérament / apprentissage / parentalité / statut socioéconomique / facteur de risque","- Questionnaires - Guide d’entretien- Données administratives","Analyse statistique"
"executive functioning in child victims of sexual abuse: a multi-informant comparative study","Amédée, Laetitia Mélissande / Cyr, Chantal / Jean-Thorn, Arianne / Hébert, Martine",2024,"Article","agression sexuelle / flexibilité / développement cognitif / fonction / autorégulation / différence de sexe / comparaison","Questionnaire","Analyse statistique"
"what is vulnerability? quebec community family workers perceptions of family situations in cases of child neglect","De Boer, Savannah / Lacharité, Carl / Dubois-Comtois, Karine",2024,"Article","vulnérabilité / intervenant | intervenante / intervention psychosociale / protection de la jeunesse / négligence / enfant / facteur de risque / parent | parents","Guide d’entretien semi-directif","Analyse de contenu"
"addressing sexual issues in couples seeking relationship therapy","Emond, Marianne / Byers, E. Sandra / Brassard, Audrey / Tremblay, Nadine / Péloquin, Katherine",2024,"Article","thérapie de couple / partenaire / sexualité / satisfaction sexuelle / satisfaction conjugale","Questionnaires","Analyse statistique"
"family language policy among québec-based parents raising multilingual infants and toddlers: a study of resources as a form of language management","Ahooja, Alexa / Brouillard, Melanie / Quirk, Erin / Ballinger, Susan / Polka, Linda / Byers-Heinlein, Krista / Kircher, Ruth",2024,"Article","ressource / transmission intergénérationnelle / langue / politique publique / petite enfance / minorité linguistique / immigration","Questionnaire","Analyse statistiqueAnalyse de contenu"
"alexithymia as a mediator between intimate partner violence and post-traumatic stress symptoms in mothers of children disclosing sexual abuse","Dubé, Valéry / Tremblay-Perreault, Amélie / Alllard-Cobetto, Pénélope / Hébert, Martine",2024,"Article","émotion / agression sexuelle / violence conjugale / partenaire / mère / dévoilement / syndrome de stress post-traumatique / enfant","Questionnaires","Analyse statistique"
"anxiety and depressive symptoms in first-time parents: a dyadic longitudinal study based on attachment theory","Gingras, Anne-Sophie / Brassard, Audrey / Péloquin, Katherine / Lafontaine, Marie-France / Brault-Labbé, Anne / Gosselin, Patrick",2024,"Article","anxiété / dépression / périnatalité / théorie de l’attachement / couple / parentalité / primipare","Questionnaires","Analyse statistique"
"examining the impact of a change in maternity leave policy in canada on maternal mental health care visits to the physician","Larose, Marie-Pier / Haeck, Catherine / Lefebvre, Pierre / Merrigan, Philip",2024,"Article","congé parental / politique publique / santé mentale / système de santé / maternité / post-partum / allaitement / retour au travail","Données administratives","Analyse statistique"
"predictors of placement instability for sexually abused children served by child protection services","Gendron-Cloutier, Lauranne / Daigneault, Isabelle / Esposito, Tonino",2024,"Article","placement / maltraitance / agression sexuelle / famille d’accueil / santé mentale / protection de la jeunesse / facteur de risque","Données administratives","Analyse statistique"
"longitudinal association between the quality of the separated parents relationship and the frequency of father–child contact: the mothers perspective","Drapeau, Sylvie / Larouche, Karl / Ivers, Hans / Dussault, Sarah / Baude, Amandine",2024,"Article","séparation / divorce / relation père-enfant / approche longitudinale / relation parent-enfant / garde de l’enfant","Questionnaires","Analyse statistique"
"barriers to involvement in parenting activities in school-based preschools in disadvantaged neighbourhoods in canada","Poissant, Julie / Langheit, Stephanie / Capuano, France / Japel, Christa / Poulin, François",2024,"Article","préscolaire / coût / ressource / engagement parental / milieu défavorisé / enseignant | enseignante / parent | parents / collaboration école-famille","Guide d’entretien semi-directif","Analyse de contenu"
"factors associated with delayed disclosure of child sexual abuse: a focus on the victims having been led to perform sexual acts on the perpetrator","Allard-Gaudreau, Noémie / Poirier, Sebastien / Cyr, Mireille",2024,"Article","victimisation / enfant / agression sexuelle / dévoilement / comportement sexuel","Guide d’entretien","Analyse statistique"
"a dyadic study of attachment, coping, and quality of life in couples seeking fertility treatment","Péloquin, Katherine / Arpin, Virginie / Jacmin-Park, Silke / Beaulieu, Noémie / Brassard, Audrey",2024,"Article","trouble de l’attachement / infertilité / qualité de vie / couple / partenaire / adaptation socioémotionnelle / traitement","Questionnaires","Analyse statistique"
"les hommes auteurs dun filicide ou dun homicide conjugal: profils similaires ou distincts ?","Léveillée, Suzanne / Vignola-Lévesque, Carolanne / Bouchard, Jean-Pierre",2024,"Article","filicide / homicide conjugal / violence familiale / profil / homicide / rupture conjugale / violence conjugale","Grille d’analyse","Analyse statistique"
"laccréditation des familles daccueil (avec ou sans projet dadoption) : quelques repères pour mieux évaluer leurs capacités","Pagé, Geneviève / Poitras, Karine / Dubois-Comtois, Karine / Laporte, Joannie / Turgeon, Angèle",2024,"Autre","famille d’accueil / adoption / enfant / parent | parents / évaluation / protection de la jeunesse",NA,"Réflexion critique"
"associations between conflict negotiation strategies, sexual comfort, and sexual satisfaction in adolescent romantic relationships","Couture, Stéphanie / Vaillancourt-Morel, Marie-Pier / Hébert, Martine / Fernet, Mylène",2023,"Article","relation amoureuse / adolescent | adolescente / satisfaction sexuelle / résolution de conflit / couple / négociation / dyade","Questionnaire","Analyse statistique"
"“i felt imprisoned”: a qualitative exploration of controlling behaviors in adolescent and emerging adult dating relationships","De Sousa, Deziray / Paradis, Alison / Fernet, Mylène / Couture, Sophie / Fortin, Andréanne",2023,"Article","adolescent | adolescente / jeune adulte / violence conjugale / contrôle coercitif / comportement","Guide d’entretien semi-directif","Analyse de contenu"
"do people know how their romantic partner views their emotions? evidence for emotion meta-accuray and links with momentary romantic relationship quality","Tissera, Hasagani / Heyman, Jennifer L. / Human, Lauren J.",2023,"Article","qualité / interaction / relation amoureuse / dyade / conflit / émotion / perception","Questionnaires","Analyse statistique"
"intergenerational continuity of child sexual abuse: comparison of mother and emerging adult dyads","Marshall, Carley / Fernet, Mylène / Langevin, Rachel",2023,"Article","violence sexuelle / transmission intergénérationnelle / maltraitance / jeune adulte / victimisation / dyade","Questionnaire","Analyse statistique"
"collaboration école-famille-communauté pour favoriser lapprentissage de la lecture","Chatenoud, Céline / Ménard, Mélissa / Souissi, Fatine / Turcotte, Catherine / Aldama, Rebeca / Kalubi, Jean-Claude",2023,"Article","collaboration école-famille / lecture / compétence / parent | parents / enseignant | enseignante / communauté / perception / évaluation","Guide d’entretien semi-directif","Analyse de contenu"
"les effets indirects des inhibiteurs de lacétylcholinestérase sur le fardeau des proches aidants de personnes atteintes de la maladie dalzheimer : recension systématique des écrits avec résumé narratif","Godbout, Anne-Sophie",2023,"Thèse/Mémoire","alzheimer / proche aidant | proche aidante / maladie / surcharge / recension",NA,"Réflexion critique"
"les nouvelles technologies au service de la relation grand-parentale durant les premières années de vie du petit-enfant","Hayotte, Paul / Brunson, Liesette",2023,"Article","technologie / grand-parent | grands-parents / petite enfance / relation intergénérationnelle / communication / représentation","-	Questionnaires-	Guide d’entretien semi-directif","Analyse statistiqueAnalyse de contenu"
"profils de victimisation dadolescents et adolescentes au sein de la famille","Laprade, Frédérique",2023,"Thèse/Mémoire","adolescent | adolescente / profil / facteur de risque / violence psychologique / violence physique / négligence / violence familiale","Questionnaires","Analyse statistique"
"programme triple p – pratiques parentales positives – deux à quatre ans plus tard : les rôles modérateurs de vivre un événement stressant et dobtenir des services ultérieurs sur la parentalité","Fortin, Laura / Gagné, Marie-Hélène",2023,"Article","parentalité / services sociaux / pratique parentale / triple p / soutien social / rôle parental / habileté parentale / stress parental","Questionnaires","Analyse statistique"
"child sexual abuse and employment earnings in adulthood: a prospective canadian cohort study","Bouchard, Samantha / Langevin, Rachel / Vergunst, Francis / Commisso, Melissa / Domond, Pascale / Hébert, Martine / Ouellet-Morin, Isabelle / Vitaro, Frank / Tremblay, Richard E. / Côté, Sylvana M. / Orri Massimiliano / Geoffroy, Marie-Claude",2023,"Article","agression sexuelle / salaire / approche longitudinale / enfance / agresseur / inceste / revenu / facteur de risque","Questionnaires","Analyse statistique"
"how children make sense of climate change: a descriptive qualitative study of eco-anxiety in parent-child dyads","Léger-Goodes, Terra / Malboeuf-Hurtubise, Catherine / Hurtubise, Karen / Simons, Kyra / Boucher, Amélie / Paradis, Pier-Olivier / Herba, Catherine M. / Camden, Chantal / Généreux, Mélissa",2023,"Article","écoanxiété / écologie / anxiété / enfance / influence parentale / environnement / changement","Guide d’entretien semi-directif","Analyse de contenu"
"familles en garde partagée : diversité des profils relationnels et bien-être des enfants","Baude, Amandine / Gauthier-Légaré, Audrey / Drapeau, Sylvie / Saint-Jacques, Marie-Christine / Cyr, Francine / Régnier-Loilier, Arnaud / Lachance, Véronique / Pacaut, Philippe",2023,"Autre","conflit / dynamique familiale / garde partagée / relation parent-enfant / adaptation socioémotionnelle / séparation / bien-être / enfant","Questionnaires","Analyse statistique"
"exploration de la transition à la paternité à partir du discours des pères et des mères et des interactions père-mère-bébé : conceptualisation de la sensibilité paternelle périnatale","Bouche-Florin, Athénaïs",2023,"Thèse/Mémoire","paternité / engagement paternel / relation père-enfant / périnatalité / primipare / père / grossesse / relation familiale","Guide d’entretien semi-directif","Analyse de contenu"
"être parent à lintersection de différents contextes socioculturels : lexpérience de mères réfugiées originaires du moyen-orient au québec, canada","Clavel, Caroline / Brunson, Liesette / Saïas, Thomas",2023,"Article","transmission / réfugié | réfugiée / migration / parentalité / petite enfance / maternité / différence culturelle / moyen-orient","Guide d’entretien semi-directif","Analyse de contenu"
"le couple et lenfant lors de la transition à la parentalité","Laniel, Sophie",2023,"Thèse/Mémoire","parentalité / dyade / couple / stress / violence conjugale / nourrisson / autonomie / primipare","Questionnaires","Analyse statistique"
"partir ensemble : une analyse thématique des articles de journaux francophones rapportant des décès synchrones par aide médicale à mourir chez des couples daînés","Bourget, Frédérique / Lapierre, Sylvie",2023,"Article","aide médicale à mourir / couple / personne âgée / mort / décès / amour / entourage",NA,"Réflexion critiqueAnalyse de contenu"
"les pratiques familiales de littératie en milieux défavorisés : réunir les familles, la communauté et les livres","Myre-Bisaillon, Julie / François-Sévigny, Juliette",2023,"Article","milieu défavorisé / pratique parentale / projet / perception / littératie / lecture / communautaire / relation parent-enfant","Guide d’entretien semi-directif","Analyse de contenu"
"understanding fathers involvement relative to the other parent after parental separation","Larouche, Karl / Pierce, Tamarha / Drapeau, Sylvie / Saint-Jacques, Marie-Christine",2023,"Article","divorce / relation père-enfant / engagement paternel / rupture conjugale / coparentalité / garde de l’enfant / santé mentale / père","Questionnaires","Analyse statistique"
"being a parent of children with disabilities during the covid-19 pandemic: multi-method study of health, social life, and occupational situation","Fortin-Bédard, Noémie / Ladry, Naomie-Jade / Routhier, François / Lettre, Josiane / Bouchard, David / Ouellet, Béatrice / Grandisson, Marie / Best, Krista L. / Bussières, Ève-Line / Baron, Marie / Leblanc, Annie / Lamontagne, Marie-Eve",2023,"Article","covid-19 / handicap / proche aidant | proche aidante / parent | parents / santé mentale / bien-être / enfant / socialisation","Guide d’entretien semi-directif","Analyse statistiqueAnalyse de contenu"
"le soutien par des paires aidantes auprès de femmes immigrantes en période périnatale : rencontre entre « mère en devenir » et « mère-visiteuse »","Bouthillier, Anne-Véronique",2023,"Thèse/Mémoire","périnatalité / maternité / immigration / pair / psychanalyse / culture","Guide d’entretien semi-directif","Analyse de contenu"
"difficulties with emotion regulation moderate the relationship between child maltreatment and emotion recognition","Cheng, Polly / Langevin, Rachel",2023,"Article","maltraitance / négligence / jeune adulte / émotion / autorégulation / développement émotionnel / violence","Questionnaires","Analyse statistique"
"évaluation des changements sur le fonctionnement familial et ses dimensions affectives chez les parents denfant ayant un tda/h à la suite dun programme dentraînement aux habiletés parentales","Collin, Carole-Ann",2023,"Thèse/Mémoire","soutien affectif / parent | parents / habileté parentale / trouble déficitaire de l’attention avec ou sans hyperactivité | tdah / fonctionnement familial / besoin / engagement / enfant","Questionnaires","Analyse statistique"
"refaire famille à la suite dune séparation : un portrait de la conjugalité au sein de familles recomposées récemment formées","Robitaille, Caroline / Ste-Marie, Nathalie / Parent, Claudine / Rouyer, Véronique / Lacroix, Nancy / Létourneau, Aurée-Anne",2023,"Autre","couple / adaptation / conflit / parent | parents / recomposition familiale / séparation / rôle parental / couple","Questionnaire","Analyse statistique"
